,diapostagem,hora,nomeBike,precoBike,cidade,bairro,urlBike
19,10 nov,18:20,Bike Feminina Aro 24 Trocador Shimano ,799.0,Campinas, Swiss Park - DDD 19,https://sp.olx.com.br/grande-campinas/ciclismo/bike-feminina-aro-24-trocador-shimano-884174413
20,10 nov,14:56,Bike Vicinitech V7,3200.0,São Paulo, Nossa Senhora do Ó - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bike-vicinitech-v7-955151735
21,9 nov,19:31,Suporte de Celular com Rotação 360 para Guidão de Bicicleta ,35.0,Araçatuba, TV - DDD 18,https://sp.olx.com.br/regiao-de-presidente-prudente/ciclismo/suporte-de-celular-com-rotacao-360-para-guidao-de-bicicleta-946850205
22,8 nov,08:45,Bike Feminina Aro 24 Modelo Kaioba - Nova,849.0,Campinas, Swiss Park - DDD 19,https://sp.olx.com.br/grande-campinas/ciclismo/bike-feminina-aro-24-modelo-kaioba-nova-924784400
23,7 nov,14:37,Bicicleta elétrica sense wind,3500.0,São Paulo, Vila Mariana - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bicicleta-eletrica-sense-wind-951462103
0,Hoje,15:01,Bicicleta Audax Ventus 1000 16s Shimano Claris - Speed - Sprint - Strada,3200.0,Santos, Boqueirão - DDD 13,https://sp.olx.com.br/baixada-santista-e-litoral-sul/ciclismo/bicicleta-audax-ventus-1000-16s-shimano-claris-speed-sprint-strada-957428308
1,Hoje,15:01,Caloi Strada 16s Rodas Vzan Futura + Garfo Fibra de Carbono + Impecavel - Speed - Sprint,4999.0,Santos, Boqueirão - DDD 13,https://sp.olx.com.br/baixada-santista-e-litoral-sul/ciclismo/caloi-strada-16s-rodas-vzan-futura-garfo-fibra-de-carbono-impecavel-speed-sprint-965119609
2,,,,,,,
3,,,,,,,
4,Hoje,15:01,Speed ,1500.0,São Paulo, Tucuruvi - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/speed-958465167
5,Hoje,14:35,Venzo talon evo . 29 ,2500.0,Jacareí, Jardim Terras de Santa Helena - DDD 12,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/ciclismo/venzo-talon-evo-29-965743786
6,Hoje,14:27,Bike Speed Vicinitech Tam. 54,3400.0,Cruzeiro, Vila Regina Célia - DDD 12,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/ciclismo/bike-speed-vicinitech-tam-54-965708768
7,,,,,,,
8,Hoje,13:58,Bike Speed - ViciniTech,3300.0,São Paulo, Cidade Líder - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bike-speed-vicinitech-965721633
9,Hoje,13:47,Bike aro 29 strava relação 1x10 deore suspensão a ar ,4000.0,São Paulo, Mooca - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bike-aro-29-strava-relacao-1x10-deore-suspensao-a-ar-965717763
10,Hoje,12:31,Sense Activ 24s - Excelente estado - MTB - Hibrida -,2250.0,Santos, Boqueirão - DDD 13,https://sp.olx.com.br/baixada-santista-e-litoral-sul/ciclismo/sense-activ-24s-excelente-estado-mtb-hibrida-960853727
11,Hoje,11:50,Vendo caloi elite 30 ,4800.0,Marília, Palmital - DDD 14,https://sp.olx.com.br/regiao-de-bauru-e-marilia/ciclismo/vendo-caloi-elite-30-965664554
12,Ontem,21:31,Bike modelo Vicinitech aro 29 tam 19,4500.0,São Paulo, Americanópolis - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bike-modelo-vicinitech-aro-29-tam-19-959098308
13,,,,,,,
14,Ontem,20:19,Bicicleta Carbono Vicini Tech Verte,2500.0,Limeira, Conjunto Residencial Victor D'Andrea - DDD 19,https://sp.olx.com.br/grande-campinas/ciclismo/bicicleta-carbono-vicini-tech-verte-965496689
15,Ontem,20:01,Capacete Ciclismo ViciniTech Ótimo Estado ,65.0,São Paulo, Cidade Tiradentes - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/capacete-ciclismo-vicinitech-otimo-estado-962714342
16,Ontem,20:00,Caloi Sprint 16s - Excelente estado - Speed Strada,2699.0,Santos, Boqueirão - DDD 13,https://sp.olx.com.br/baixada-santista-e-litoral-sul/ciclismo/caloi-sprint-16s-excelente-estado-speed-strada-965489969
17,Ontem,18:38,Caloi Strada Racing 20s Upgrades Fibra de Carbono + Rodas Vicinitech - Speed Sprint,5499.0,Santos, Boqueirão - DDD 13,https://sp.olx.com.br/baixada-santista-e-litoral-sul/ciclismo/caloi-strada-racing-20s-upgrades-fibra-de-carbono-rodas-vicinitech-speed-sprint-965471551
18,Ontem,18:29,Caloi Sprint 10 16s - Excelente estado - Speed Strada,2699.0,Santos, Boqueirão - DDD 13,https://sp.olx.com.br/baixada-santista-e-litoral-sul/ciclismo/caloi-sprint-10-16s-excelente-estado-speed-strada-965469811
19,Ontem,18:23,Caloi Sprint 16s - Excelente estado - Speed Strada,2599.0,Santos, Boqueirão - DDD 13,https://sp.olx.com.br/baixada-santista-e-litoral-sul/ciclismo/caloi-sprint-16s-excelente-estado-speed-strada-965468798
20,Ontem,18:01,Bike vicinitech elite,2300.0,São Paulo, Parque Savoy City - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bike-vicinitech-elite-933800948
21,Ontem,14:31,Sundown Columbus 18s + Garfo Fibra Carbono,3100.0,Santos, Boqueirão - DDD 13,https://sp.olx.com.br/baixada-santista-e-litoral-sul/ciclismo/sundown-columbus-18s-garfo-fibra-carbono-957908481
22,Ontem,14:31,Bicicleta TSW Stamina Shimano Alivio + Freio Hidraulico,4200.0,Santos, Boqueirão - DDD 13,https://sp.olx.com.br/baixada-santista-e-litoral-sul/ciclismo/bicicleta-tsw-stamina-shimano-alivio-freio-hidraulico-957856093
23,Ontem,11:38,Road bike Vicinitech tam 54,5600.0,Sumaré, Jardim Macarenko - DDD 19,https://sp.olx.com.br/grande-campinas/ciclismo/road-bike-vicinitech-tam-54-965367099
24,Ontem,03:55,Ultegra di2 - Upgrade ,9999.0,São Caetano do Sul, Cerâmica - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/ultegra-di2-upgrade-965304609
25,3 dez,15:49,MTB vicinitech aro 29?,6500.0,São Miguel Arcanjo - DDD 15, ,https://sp.olx.com.br/regiao-de-sorocaba/ciclismo/mtb-vicinitech-aro-29-964856052
26,,,,,,,
27,3 dez,12:24,Bike fixa - vicinitech,2350.0,Ferraz de Vasconcelos, Parque Dourado - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bike-fixa-vicinitech-964769824
28,3 dez,09:35,Gancheira Para Reposição Quadro Rava Storm Tsw Awe Lenister Carbono Vicinitech Elite Nine,26.0,São José dos Campos, Centro - DDD 12,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/ciclismo/gancheira-para-reposicao-quadro-rava-storm-tsw-awe-lenister-carbono-vicinitech-elite-nine-922833871
29,3 dez,09:34,4x Terminais Acabamento de Quadro Cabeamento Interno para Vicinitech Elite Rava Storm,18.0,São José dos Campos, Vila Ester - DDD 12,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/ciclismo/4x-terminais-acabamento-de-quadro-cabeamento-interno-para-vicinitech-elite-rava-storm-922809359
30,2 dez,09:41,MTB vicini vicinitech v-works aro 29 com nota fiscal,2900.0,Pindamonhangaba, Residencial e Comercial Cidade Morumbi - DDD 12,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/ciclismo/mtb-vicini-vicinitech-v-works-aro-29-com-nota-fiscal-964201536
31,2 dez,08:04,Bicicleta Speed Vicinitech Roubaix 2,5700.0,Araraquara, Vila Aracoara - DDD 16,https://sp.olx.com.br/regiao-de-ribeirao-preto/ciclismo/bicicleta-speed-vicinitech-roubaix-2-964168800
32,1 dez,21:01,Roda Aro 29 Vicinitech ,1300.0,Arujá, Vila Lima - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/roda-aro-29-vicinitech-944017840
33,1 dez,17:25,Scott scale ,4200.0,Sorocaba, Vila São Caetano - DDD 15,https://sp.olx.com.br/regiao-de-sorocaba/ciclismo/scott-scale-963957782
34,1 dez,15:01,Bicicleta speed tamanho 54,3200.0,Guarulhos, Jardim Nova Cidade - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bicicleta-speed-tamanho-54-955632226
35,1 dez,10:49,Bicicleta Speed Vicinitech TAM 56 - 2x9,3200.0,Ribeirão Preto, Residencial Parque dos Servidores - DDD 16,https://sp.olx.com.br/regiao-de-ribeirao-preto/ciclismo/bicicleta-speed-vicinitech-tam-56-2x9-962152630
36,1 dez,10:43,Trek Emonda Alr5 2019 - 54 Bicicleta Speed Estrada Road Bike,10200.0,São Paulo, Parque Imperial - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/trek-emonda-alr5-2019-54-bicicleta-speed-estrada-road-bike-919165819
37,,,,,,,
38,1 dez,09:46,Vicinitech aro 29 ,1350.0,Jacareí, Jardim Santa Maria - DDD 12,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/ciclismo/vicinitech-aro-29-963699712
39,1 dez,07:40,Bike 29,5500.0,Mogi das Cruzes, Alto Ipiranga - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bike-29-963659057
40,1 dez,00:28,Mtb 26 vicinitech,2600.0,São José dos Campos, Conjunto Residencial Trinta e Um de Março - DDD 12,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/ciclismo/mtb-26-vicinitech-963554103
41,30 nov,17:18,Pedivela Ultegra R8000 lado direito,1049.0,São Caetano do Sul, Cerâmica - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/pedivela-ultegra-r8000-lado-direito-963413287
42,30 nov,13:07,Bike MTB 29 carbono TAM 19,9800.0,São José dos Campos, Altos da Vila Paiva - DDD 12,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/ciclismo/bike-mtb-29-carbono-tam-19-886534030
43,30 nov,00:58,VENDO BICICLETA VICINITECH TAMANHO 17,2500.0,Itapetininga, Vila Serafim - DDD 15,https://sp.olx.com.br/regiao-de-sorocaba/ciclismo/vendo-bicicleta-vicinitech-tamanho-17-963039117
44,29 nov,18:31,"Pedal para speed btwin..usado somente 1x,e aranha expansiva para garfo de carbono..",220.0,São Paulo, Campos Elíseos - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/pedal-para-speed-btwin-usado-somente-1x-e-aranha-expansiva-para-garfo-de-carbono-943170947
45,29 nov,13:01,Bicicleta TSW aro 29 Deore 30v,5000.0,Itapevi, Jardim Itacolomi - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bicicleta-tsw-aro-29-deore-30v-954955756
46,28 nov,22:19,Capacete novinho Vicinitech,120.0,São Paulo, Vila Gomes Cardim - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/capacete-novinho-vicinitech-962570049
47,28 nov,14:47,Vendo speed,4500.0,Itupeva - DDD 11, ,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/vendo-speed-962460072
48,28 nov,08:08,Quadro speed tamanho 52 ,800.0,Araraquara, Jardim do Carmo - DDD 16,https://sp.olx.com.br/regiao-de-ribeirao-preto/ciclismo/quadro-speed-tamanho-52-962365408
49,27 nov,19:22,Oportunidade - Tarmac SL4 PRO de Ultegra Di2 - Quadro FACT 10r (c/ NF),12500.0,Osasco, Vila Yolanda - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/oportunidade-tarmac-sl4-pro-de-ultegra-di2-quadro-fact-10r-c-nf-962301398
50,26 nov,18:30,"Cannondale F-Si Carbon 2 2015 Tamanho L (19), Usada.",9990.0,Ribeirão Preto, Jardim América - DDD 16,https://sp.olx.com.br/regiao-de-ribeirao-preto/ciclismo/cannondale-f-si-carbon-2-2015-tamanho-l-19-usada-961968775
51,26 nov,16:01,Caloi Strada 18s - Shimano Tiagra + Garfo Carbono + Impecavel  - Speed,3950.0,Santos, Boqueirão - DDD 13,https://sp.olx.com.br/baixada-santista-e-litoral-sul/ciclismo/caloi-strada-18s-shimano-tiagra-garfo-carbono-impecavel-speed-953505743
52,26 nov,16:01,Pedal de Clip Shimano e outros - MTB e Speed,199.0,Santos, Boqueirão - DDD 13,https://sp.olx.com.br/baixada-santista-e-litoral-sul/ciclismo/pedal-de-clip-shimano-e-outros-mtb-e-speed-953537465
53,26 nov,16:01,Caloi Strada 16s - Grupo Shimano Claris - Speed,3599.0,Santos, Boqueirão - DDD 13,https://sp.olx.com.br/baixada-santista-e-litoral-sul/ciclismo/caloi-strada-16s-grupo-shimano-claris-speed-942163679
54,26 nov,16:01,Bicicleta GTS R3 18s Tiagra/Sora Rodas Xero Shawla - Excelente Speed - Speed,2600.0,Santos, Boqueirão - DDD 13,https://sp.olx.com.br/baixada-santista-e-litoral-sul/ciclismo/bicicleta-gts-r3-18s-tiagra-sora-rodas-xero-shawla-excelente-speed-speed-953504108
55,26 nov,12:54,Bicicleta Vicinitech pro,2600.0,São Caetano do Sul, Santa Paula - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bicicleta-vicinitech-pro-961813054
56,24 nov,12:31, Bicicleta aro 29,2750.0,São Bernardo do Campo, Jardim Industrial - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bicicleta-aro-29-941195737
57,24 nov,09:59,Bike speed look 795,12500.0,Potirendaba - DDD 17, ,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/ciclismo/bike-speed-look-795-960791429
58,,,,,,,
59,,,,,,,
60,24 nov,06:16,Tarmac Elite Sl4 Tam 56 ,14900.0,São Caetano do Sul, Cerâmica - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/tarmac-elite-sl4-tam-56-960722987
61,22 nov,16:24,Bike 29 tamanho 19 ,8000.0,Jacareí, Jardim Bela Vista - DDD 12,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/ciclismo/bike-29-tamanho-19-960008840
62,21 nov,17:56,"Bike aro 29 shimano vicinitech 18,5 alumínio ",3000.0,Hortolândia, Jardim das Paineiras - DDD 19,https://sp.olx.com.br/grande-campinas/ciclismo/bike-aro-29-shimano-vicinitech-18-5-aluminio-957957800
63,,,,,,,
64,20 nov,22:01,Caloi Strada 16s Grupo Claris- Impecável - Speed,3599.0,Santos, Boqueirão - DDD 13,https://sp.olx.com.br/baixada-santista-e-litoral-sul/ciclismo/caloi-strada-16s-grupo-claris-impecavel-speed-939530735
65,20 nov,13:31,Vendo Garfo Carbono Full Vicinitech tapered seminovo,280.0,São Paulo, Vila Prudente - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/vendo-garfo-carbono-full-vicinitech-tapered-seminovo-942006530
66,20 nov,10:45,Caloi Explorer 10,2800.0,Guarulhos, Vila das Palmeiras - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/caloi-explorer-10-959213197
67,19 nov,21:45,"Speed Vicinitech Aero grupo Tiagra, garfo Full Carbono",6500.0,Carapicuíba, Vila Santa Lúcia - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/speed-vicinitech-aero-grupo-tiagra-garfo-full-carbono-944052453
68,19 nov,14:14,Vicinitech Roubaix II - 54 x 56 top tube,5500.0,Osasco, Bussocaba - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/vicinitech-roubaix-ii-54-x-56-top-tube-958915791
69,,,,,,,
70,19 nov,11:09,Coroa Hollowgram SpideRing 52-36,1699.0,São Paulo, Cerqueira César - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/coroa-hollowgram-spidering-52-36-958813030
71,19 nov,10:50,Rodas de Cqrbono Cannondale Hollowgram HG 35 Disco,9790.0,São Caetano do Sul, Cerâmica - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/rodas-de-cqrbono-cannondale-hollowgram-hg-35-disco-958801237
72,18 nov,22:49,First Athymus F1 ,6500.0,Pederneiras, Jardim Maria Luiza - DDD 14,https://sp.olx.com.br/regiao-de-bauru-e-marilia/ciclismo/first-athymus-f1-958617038
73,18 nov,21:50,Guidão Hollowgram System Bar Supersix Systemsix,3699.0,São Caetano do Sul, Cerâmica - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/guidao-hollowgram-system-bar-supersix-systemsix-958599415
74,17 nov,08:02,Freehub padrão XD encaixe SRAM rolamento ,380.0,São Paulo, Chácara Mafalda - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/freehub-padrao-xd-encaixe-sram-rolamento-957756788
75,17 nov,06:11,"Bicicleta aro 27,5 vicini",500.0,Mogi das Cruzes, Jardim Náutico - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bicicleta-aro-27-5-vicini-957735422
76,17 nov,00:40,Cannondale scapell SI 5,18000.0,Várzea Paulista, Jardim América - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/cannondale-scapell-si-5-957690615
77,14 nov,18:39,MTB 29 Tamanho 19 venda ou troca por bike speed ,3800.0,Pariquera-Açu - DDD 13, ,https://sp.olx.com.br/baixada-santista-e-litoral-sul/ciclismo/mtb-29-tamanho-19-venda-ou-troca-por-bike-speed-956837803
78,11 nov,23:05,Quadro Vicinitech Roubaix II e Garfo de Carbono novo. Tamanho 51,1400.0,Mogi das Cruzes, Villa Di Cesar - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/quadro-vicinitech-roubaix-ii-e-garfo-de-carbono-novo-tamanho-51-955890977
79,11 nov,22:26,Bianchi Impulso Tam 53 Impecável !,12900.0,São Paulo, Cerqueira César - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bianchi-impulso-tam-53-impecavel-955884904
80,10 nov,21:41,Bike aro 29 quadro 19,6190.0,Hortolândia, Jardim Santa Esmeralda - DDD 19,https://sp.olx.com.br/grande-campinas/ciclismo/bike-aro-29-quadro-19-955336713
81,10 nov,14:56,Bike Vicinitech V7,3200.0,São Paulo, Nossa Senhora do Ó - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bike-vicinitech-v7-955151735
82,,,,,,,
83,9 nov,21:45,Vicinitech V-Works Carbon ,10500.0,Mogi das Cruzes, Vila Partenio - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/vicinitech-v-works-carbon-930931643
84,9 nov,18:31,Mountain Bike ViciniTech T-Seven,1350.0,Guarulhos, Vila Nova Bonsucesso - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/mountain-bike-vicinitech-t-seven-935022217
85,9 nov,07:44,Giant Tcr Advanced Ultegra Tam 52,14390.0,São Paulo, Cerqueira César - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/giant-tcr-advanced-ultegra-tam-52-954442138
86,9 nov,07:22,"Pedais Shimano a partir de 499,00",499.0,São Paulo, Cerqueira César - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/pedais-shimano-a-partir-de-499-00-954439219
87,7 nov,19:04,Bike de pista vicinitech,3200.0,São José dos Campos, Parque Industrial - DDD 12,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/ciclismo/bike-de-pista-vicinitech-953883635
88,7 nov,18:01,Rodas 700,300.0,Mogi das Cruzes, Jundiapeba - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/rodas-700-934050662
89,7 nov,17:09,Bike Aro 29 Carbono Vicinitech V-Works,14000.0,Santa Adélia - DDD 17, ,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/ciclismo/bike-aro-29-carbono-vicinitech-v-works-953855035
90,7 nov,13:03,Capacete / Guidão / canote / Mesa,1.0,Marília, Centro - DDD 14,https://sp.olx.com.br/regiao-de-bauru-e-marilia/ciclismo/capacete-guidao-canote-mesa-953786761
91,6 nov,11:08,Roda aro 29 MTB e Raio chato,420.0,Suzano, Jardim Dora - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/roda-aro-29-mtb-e-raio-chato-953476948
92,,,,,,,
0,Ontem,12:26,Bicicleta fixa / single speed,1200.0,Diadema, Taboão - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bicicleta-fixa-single-speed-962110804
1,3 dez,12:39,Caloi Peri 1979,800.0,Santos, Embaré - DDD 13,https://sp.olx.com.br/baixada-santista-e-litoral-sul/ciclismo/caloi-peri-1979-964774154
2,,,,,,,
3,,,,,,,
4,18 nov,14:53,Bicicleta speed fixa aro 700,1100.0,São Paulo, Vila Clementino - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bicicleta-speed-fixa-aro-700-953328294
5,16 nov,22:43,"Aros 40mm originais da Raf. Fixa, fixed gear, fixie, speed, pinhão fixo.   ",400.0,São Paulo, Cerqueira César - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/aros-40mm-originais-da-raf-fixa-fixed-gear-fixie-speed-pinhao-fixo-957665673
6,12 nov,13:19,Bicicleta Fixa/fixed gear babilônia tam. 50,2000.0,São Paulo, Aclimação - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bicicleta-fixa-fixed-gear-babilonia-tam-50-956074316
7,,,,,,,
8,11 nov,19:04,caloi 10 1981,900.0,Santos, Aparecida - DDD 13,https://sp.olx.com.br/baixada-santista-e-litoral-sul/ciclismo/caloi-10-1981-955819140
0,3 dez,05:55,Cinelli Histogram Mash 2015 T.57 Bike Fixa Pista Track Raridade!,8500.0,Guarulhos, Parque Continental II - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/cinelli-histogram-mash-2015-t-57-bike-fixa-pista-track-raridade-964633762
