,dayPost,timePost,codeAd,nameAds,valueAds,city,neighborhood,cep,urlAds
19,16/04,12:12,1020554576,Quadro de alumínio e garfo de fibra de carbono ,700.0,Ferraz de Vasconcelos,Vila Correa,08502340,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/quadro-de-aluminio-e-garfo-de-fibra-de-carbono-1020554576
20,14/04,19:51,1020691483,Bicicleta aro 26 ,400.0,São Paulo,Jardim Aricanduva,03456060,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bicicleta-aro-26-1020691483
21,14/04,10:04,976914258,Bicicleta MTB Audax Auge 700 Carbon 12v 2021,16299.0,São Paulo,Indianópolis,04062003,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bicicleta-mtb-audax-auge-700-carbon-12v-2021-976914258
22,14/04,10:02,977650038,Bicicleta Mtb Audax Adx LT 12v 2021,7199.0,São Paulo,Indianópolis,04062003,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bicicleta-mtb-audax-adx-lt-12v-2021-977650038
23,14/04,10:01,1020364203,Par Pneu Bike Bicicleta 29x2.25 Michelin Force Line Cravo,174.0,Ribeirão Pires,Centro,09400110,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/par-pneu-bike-bicicleta-29x2-25-michelin-force-line-cravo-1020364203
24,14/04,09:03,939860520,Kit musculação: 48kg anilha pintada (ferro) + barra oca + banco de treino,955.0,São Paulo,Vila Dom Pedro II,02241050,https://sp.olx.com.br/sao-paulo-e-regiao/esportes-e-ginastica/kit-musculacao-48kg-anilha-pintada-ferro-barra-oca-banco-de-treino-939860520
25,,,,,,,,,
26,13/04,22:02,1011283715,Pisca Alerta Luz Led Bike Sinalizador Noturno Bicicleta c/ 2 und,18.0,Itapevi,Vila Aurora,06654160,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/pisca-alerta-luz-led-bike-sinalizador-noturno-bicicleta-c-2-und-1011283715
27,13/04,22:01,1015790981,Suporte para bike em carro,90.0,Lorena,Vila Geny,12604100,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/ciclismo/suporte-para-bike-em-carro-1015790981
28,13/04,21:31,1016321111,Transbike Thule Xpress 970 ,499.0,Ribeirão Preto,Bonfim Paulista,14110000,https://sp.olx.com.br/regiao-de-ribeirao-preto/ciclismo/transbike-thule-xpress-970-1016321111
29,13/04,21:22,914163192,Bike aro 29 nova nova nova,4100.0,Santo André,Centro,09020031,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bike-aro-29-nova-nova-nova-914163192
30,13/04,20:01,1014779585,Bike fixa 8,1790.0,São Paulo,Campos Elíseos,01217360,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bike-fixa-8-1014779585
31,13/04,15:31,1012947385,Single speed fixa (quadro raro),1100.0,Franca,Jardim Aeroporto I,14404058,https://sp.olx.com.br/regiao-de-ribeirao-preto/ciclismo/single-speed-fixa-quadro-raro-1012947385
32,13/04,14:31,1009277905,Bicicleta motorizada 80cc,2200.0,São Paulo,Vila Anglo Brasileira,05029000,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bicicleta-motorizada-80cc-1009277905
33,,,,,,,,,
34,13/04,12:31,1012502075,Rolo de Treino Bike Absolute Wild 8 Magnético Excelente,399.0,Itu,Centro,13300210,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/rolo-de-treino-bike-absolute-wild-8-magnetico-excelente-1012502075
35,13/04,11:54,1019920516,BICICLETA 29 K7 17 SHIMANO ALTUS FREIO HIDRAULICO TRAVA SUSP + acessorios,3700.0,São José do Rio Preto,Parque Industrial,15025095,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/ciclismo/bicicleta-29-k7-17-shimano-altus-freio-hidraulico-trava-susp-acessorios-1019920516
36,13/04,09:52,941228146,Kit Musculação halter + banco p/treino,690.0,São Paulo,Vila Dom Pedro II,02241050,https://sp.olx.com.br/sao-paulo-e-regiao/esportes-e-ginastica/kit-musculacao-halter-banco-p-treino-941228146
37,13/04,09:52,928988110,Kit musculação com banco ,696.0,São Paulo,Vila Dom Pedro II,02241050,https://sp.olx.com.br/sao-paulo-e-regiao/esportes-e-ginastica/kit-musculacao-com-banco-928988110
38,12/04,22:35,1019720114,Bike gts aro 26,1500.0,Ribeirão Pires,Santana,09407000,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bike-gts-aro-26-1019720114
39,12/04,21:34,1014621026,Bike antiga ,550.0,Bady Bassitt, ,15115000,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/ciclismo/bike-antiga-1014621026
40,,,,,,,,,
41,12/04,20:30,1019564902,Caloi 15 1979,1650.0,Santos,Embaré,11040240,https://sp.olx.com.br/baixada-santista-e-litoral-sul/ciclismo/caloi-15-1979-1019564902
42,12/04,20:02,1014396733,"Farol Bike Led com Buzina Recarregável VArias Cores laranja,verde,azul,preto e vermelho",45.0,São José dos Campos,Jardim Satélite,12230730,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/ciclismo/farol-bike-led-com-buzina-recarregavel-varias-cores-laranja-verde-azul-preto-e-vermelho-1014396733
43,12/04,20:01,1013434899,BIKE FIXA CALOI 10 SPRINT,2200.0,São Paulo,Tremembé,02370020,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bike-fixa-caloi-10-sprint-1013434899
44,12/04,19:47,1019502347,Farol 2 Luz De Segurança Bcileta Gts,25.0,São Paulo,Jardim São Ricardo,05143150,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/farol-2-luz-de-seguranca-bcileta-gts-1019502347
45,12/04,19:12,1019458906,Bike / Bicicleta Motorizada 80CC,750.0,São Paulo,Jardim Miriam,04416020,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bike-bicicleta-motorizada-80cc-1019458906
46,12/04,15:17,988575563,Bicicleta MTB Sense One 21v 2021/2022,2690.0,São Paulo,Indianópolis,04062003,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bicicleta-mtb-sense-one-21v-2021-2022-988575563
47,12/04,12:45,1011842540,Ciclocomputador GPS Mountain Bike Bryton Rider 330,500.0,Itapecerica da Serra,Centro,06850100,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/ciclocomputador-gps-mountain-bike-bryton-rider-330-1011842540
48,11/04,17:00,1000056096,ROLO FIXO DE BIKE ABSOLUTE,650.0,Sorocaba,Vila Espírito Santo,18051450,https://sp.olx.com.br/regiao-de-sorocaba/ciclismo/rolo-fixo-de-bike-absolute-1000056096
49,11/04,14:20,1019046975,Buzineta para Bike Sirene Faz 100 sons engraçados Policia Programáveis + alarme de Bike,120.0,São Caetano do Sul,São José,09570450,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/buzineta-para-bike-sirene-faz-100-sons-engracados-policia-programaveis-alarme-de-bike-1019046975
50,11/04,13:04,1019007693,Bicicleta fixa eagle insany cromoly,2700.0,São Paulo,Santana,02035011,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bicicleta-fixa-eagle-insany-cromoly-1019007693
51,11/04,12:20,1018981372,Bike fixa em cromoly,1600.0,São Paulo,Vila Mara,08081010,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bike-fixa-em-cromoly-1018981372
52,11/04,12:03,873271494,Cavalete Multifuncional com paralelas e barra fixa,2490.0,São Paulo,Jaguaré,05329030,https://sp.olx.com.br/sao-paulo-e-regiao/esportes-e-ginastica/cavalete-multifuncional-com-paralelas-e-barra-fixa-873271494
53,11/04,09:39,1018889923,Rolo de Bike fixo da marca Tranz X,295.0,São José dos Campos,Jardim São Dimas,12245280,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/ciclismo/rolo-de-bike-fixo-da-marca-tranz-x-1018889923
54,11/04,08:44,982738026,Barra Multifuncional de Porta,168.0,São Paulo,Vila Dom Pedro II,02241050,https://sp.olx.com.br/sao-paulo-e-regiao/esportes-e-ginastica/barra-multifuncional-de-porta-982738026
55,10/04,22:29,1018811544,Passadores Shimano 7v,70.0,São Paulo,Parque São José,04843400,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/passadores-shimano-7v-1018811544
